Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Iraq,IRQ,101409677419.355,12274453883.4951,131605907459.52,137206856346.484,123988464020.56,125322177918.782,126859402364.865,135096219150.285,145514670473.773,135337673657.718,121748600000,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Ireland,IRL,36694023707.1773,61797377840.008,148031472200.815,153589539319.93,132652642238.772,139143108581.501,148434485294.703,164444144702.443,164820230958.954,160793488756.119,181024635133.315,180078193528.23
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Israel,ISR,49882357930.2392,101512106115.108,226396056322.426,237925258355.052,227505564598.431,242455140821.233,269274449592.531,283808269351.144,299511550953.611,296391067140.093,348128044078.084,367733406970.242
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Italy,ITA,914262542016.807,897682311428.394,1728719080255.16,1732748295221.34,1467086926918.2,1485717126173.86,1551440300778.25,1654069686476.05,1577554075629.77,1493117930945.19,1629482732793.38,1604111201869.07
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Jamaica,JAM,3578662295.85782,7966742428.29592,14385153888.8671,13865574860.6781,13468462069.1991,12886202918.5537,13576463786.462,14085144748.6178,14211176175.2761,12603904037.6914,12837827102.9954,14054381848.6927
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Japan,JPN,2032095585061.38,3488679640650,4065242317146.24,3797999260301.2,3350968358065.59,3720671108369.63,3650077430239.53,3747306520870.44,3812889403569.02,3786883464513.88,3751077730681.11,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Jordan,JOR,4117601267.61872,8825669957.68688,35232394366.1972,36797183098.5916,37597183098.5916,38504225352.1127,39918309859.1549,40485915492.9577,40526760563.3803,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kazakhstan,KAZ,..,13529370309.5685,142146278546.191,131016447007.394,120498818524.17,90844162087.9121,105294365376.015,108355890989.177,111563667507.906,112479707876.596,121967387989.176,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kenya,KEN,6946363016.27916,11859817209.4827,54480296757.6424,59962127541.0647,61876692840.0836,66598264029.3494,74036344313.2069,82477038273.4343,89932513310.9373,89501658755.4592,96147589928.0649,100547346219.175
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kiribati,KIR,36113937.1924738,..,276718067.594242,284917485.594291,254008544.37655,275196813.740688,293544226.194041,298885512.251743,291622587.111182,273817889.222414,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Korea, Rep.",KOR,173428422063.977,376821107731.485,897632823550.999,967198399028.72,932584808039.552,948007873609.981,1022480579421.22,1105196547024.08,1085157987999.39,1059435310830.4,1164376708486.66,1117507239942.8
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kosovo,XKX,..,..,6674571424.22982,7228351511.43841,6213065818.10234,6271156265.08834,6538793473.29883,7241656749.4345,7312790031.25173,7625431402.32928,9023212300.41396,9189691461.51416
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kuwait,KWT,17600000000,23766136496.443,72335203593.7632,76016155179.7807,75329723973.106,77606733904.0828,81725535356.3136,86814280077.4082,90673426249.3437,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Kyrgyz Republic,KGZ,2575000000,1174171996.68044,8481326634.61178,8474216383.5739,7232596210.30241,6829009218.15976,7642059887.04215,8242609814.98762,8228418902.61411,7349176062.35582,8943695040.45709,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Lao PDR,LAO,..,1629016417.22518,10927002938.1917,11652446734.2666,12455275985.5234,12676764914.4241,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Latvia,LVA,..,6644059096.17613,24188582492.3719,24831801274.5756,21275459996.1281,22070441545.6466,23995918237.7073,26702211677.6866,26673885946.7995,26670050704.7467,30905795555.5925,32943436699.0079
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Lebanon,LBN,3852597510.82235,17493200663.3499,49349929584.6766,51624263759.0713,51595443854.262,51724626168.0929,54519682177.0481,57240961599.4693,56386179820.2059,34373362902.4403,28034081816.8779,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Lesotho,LSO,..,..,2939940409.56763,2829101053.23123,2678304179.11014,2469406273.40051,2979922113.44386,3029777011.84121,2926861418.16756,2657044363.15748,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Libya,LBY,21050424316.4924,22604909781.7807,48881418412.6491,49239624498.8964,46314757713.612,48990674943.8369,53354378199.8528,53235732252.3137,54278633969.9007,56938069402.4642,19479114172.9013,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Lithuania,LTU,..,10067825636.5991,36764611874.0607,38127168762.0916,33035421231.0824,34468343068.11,37491519980.3533,41833445239.7686,42143148552.4855,43635696017.106,50373612353.9449,52924189009.5119
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Luxembourg,LUX,8143672139.06325,11583911645.302,32354825425.4937,33556164234.2217,29136275612.7394,30055875265.1379,32467906866.2709,35767525543.1138,35549801921.5836,36111356934.4182,40785768243.4722,39295701982.9651
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Macao SAR, China",MAC,1829324927.61182,3987091790.32881,13421025555.7402,15129216017.42,16283862813.9724,16700678796.9215,17306875491.2939,18438756673.3835,19453389147.7866,18423314468.6167,19558975579.6047,18417260323.5712
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Madagascar,MDG,2778594229.79649,4287018039.57823,11592464025.2509,11134779310.5604,10014897569.3268,10223407869.4134,11559811834.916,11781801583.2649,12130411657.3563,12490559693.5948,13653911223.9909,13316285497.5773
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Malaysia,MYS,28878598826.1934,50571052631.5789,211829695907.677,222270447364.389,202053643542.261,202903320275.702,215667796952.758,248982453569.639,260827429513.646,249398595697.407,263401976599.539,281112612893.643
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Maldives,MDV,..,..,..,2053133423.59285,2434756544.1247,2707116577.16022,2936743652.31056,3277351323.80872,3491457946.21733,2747798159.53537,2867336333.32645,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mali,MLI,2563448065.92071,2762761523.60556,12661821750.7915,13699377387.8924,12422179779.3589,13032277797.7368,14144299546.7278,15473329936.939,15503225475.9883,15581146928.1989,17318526519.9742,17022329958.7799
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Malta,MLT,2042366608.13184,3511169900.05879,8040825044.82362,8411535565.96062,7330773570.9375,7485542990.89517,8106705090.47068,9480366258.45455,9753038677.79074,9743782733.08309,11041521160.7507,11103146813.9518
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Marshall Islands,MHL,..,..,247571000,240188200,245044200,260756400,279836600,292935500,316094100,309908800,317429800,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mauritania,MRT,1434495767.09797,1719201198.43186,4604287731.76504,4946727227.68189,4840681098.34037,4736694533.45789,4889625709.78248,5195949828.32317,5330191285.74349,5588878857.19407,6430289692.20816,6720235053.56538
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mauritius,MUS,2042861243.67576,3457458866.45077,10770305222.6517,11410991255.0883,10417580662.1844,10840252790.956,11857056302.5631,12823270781.2721,12721603111.4291,10279352562.8427,10366488002.5329,11123882553.778
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mexico,MEX,204816436635.271,548300749805.89,1002479972674.58,1026708015828.53,910884877420.873,836184076274.945,890457895069.614,933273502990.704,968231687410.995,824124212882.035,981193346391.587,1127163998092.15
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Moldova,MDA,..,1327287306.77047,10120069933.6527,10094461535.7219,7899333540.60374,8085009322.28916,9673142152.51487,11193209416.6667,11752956432.4324,11482680796.7667,13735659881.2217,14860835365.0794
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mongolia,MNG,1925760000,1027921909.8775,8713850429.2363,8515647270.74477,8920790764.90109,8574020596.8452,8058784637.93132,9310110589.25318,9997043693.62473,10155385064.8614,10381835049.9958,11118011965.8296
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Montenegro,MNE,..,904632311.137257,4487199529.06472,4576341120.25763,3988136318.76133,4217916298.05293,4527410824.44824,5063329470.2847,4942044106.12336,4952508018.6636,5433920448.73463,5733099108.48216
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Morocco,MAR,22468298741.9635,30787092283.0792,85236293635.2665,96321266923.6369,85150895502.7238,86687135127.2375,91634667092.0822,98636468949.7264,99548447999.5987,95230550656.954,111483315463.279,106419716419.621
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Mozambique,MOZ,..,4867121138.48902,16240117091.9973,17014883141.388,14436152539.8483,10975529771.2125,11814474802.5885,12977304135.0498,13451485174.132,12119108614.4101,13824421804.0174,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Myanmar,MMR,..,..,39323239923.7285,42317486272.7259,42772938656.1267,45237684662.0741,45980688296.8963,49832809302.85,48369019442.4595,55196921594.4517,44265031835.6049,40418458601.6324
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Namibia,NAM,2141097480.81107,3293618790.28228,11239449604.2338,11225369081.8059,10875035603.192,10927574564.3754,12406586163.0966,13002309442.9538,11885973588.7711,10122302185.2437,12551043511.5969,12777574790.9898
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Nepal,NPL,3373932657.31465,4660648617.34472,20349568446.5297,20602864459.0211,22503227703.3897,23630734249.7916,25209702573.5266,28213800777.8149,28954530227.7755,31521468736.2329,34571677727.6341,38471573440.425
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Netherlands,NLD,226335444753.721,295931002381.177,625234144967.458,633308280389.399,536083343363.281,543359920740.483,572468195538.83,626107833417.243,619831766062.733,620245610846.684,690587874170.531,685269295167.318
Final consumption expenditure (current US$),NE.CON.TOTL.CD,New Caledonia,NCL,2193024878.14179,3141818061.45253,8941547239.38304,9165511735.05871,7793247731.15677,7875040123.0238,8175990088.67476,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,New Zealand,NZL,35789159146.5965,39463154146.8623,145570640665.277,153410391836.961,135068603009.118,143744104697.099,155698950198.059,161207857880.079,161905954047.599,164476916675.223,198927712547.744,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Nicaragua,NIC,..,4786267769.89756,9846350446.85704,10431335540.9657,10785767782.0749,11273170880.0078,11550852801.0215,11117790362.7701,10997639076.1568,10864820720.7305,12744527809.5932,14683581873.4305
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Niger,NER,3308453507.18246,2082391114.47587,8448281112.37506,8987976748.86304,8118361014.13064,8797474859.30515,9726033625.04355,10948860645.9705,10883725493.7157,11957454280.7862,13331456472.7347,12221892483.3772
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Nigeria,NGA,19338605590.9985,29751607044.1171,416328516249.736,449082025037.138,416656581461.172,351719186136.62,317618420391.256,346670813049.628,380402307937.072,313856154323.101,296526418168.426,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,North Macedonia,MKD,3848683745.58304,3485637666.17639,9655516780.51011,9875739344.14589,8637239177.61243,8788584957.66998,9223502653.64098,10163718865.6122,10022039339.5842,10234672914.219,11573012817.2898,11663353836.275
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Norway,NOR,82853898390.3755,105049151645.347,320461446808.511,313445173234.594,257593014363.956,257867261904.762,273553939149.708,289531509375.961,277955340909.091,255803593238.34,301401979045.402,295514639854.381
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Oman,OMN,7948244473.342,11089279323.7971,43282704811.4434,47069700910.2731,47778933680.104,48186215864.7594,51488686605.9818,51574512353.7061,53388556566.9701,53245194278.2835,58607387516.2549,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Pakistan,PAK,34617725424.2042,68522116453.2496,212309330624.875,224276364202.216,245499412503.604,286320347101.781,314429705511.403,332602930240.819,303658039365.701,280307971578.17,328372720651.381,362386450099.869
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Panama,PAN,5378381000,9225867800,28866000000,31983200000,33434500000,36460500000,38621340800,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Papua New Guinea,PNG,2700587726.99767,2154112738.71528,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Paraguay,PRY,4013402621.88974,6610220033.96102,28573214374.3282,30483803563.4547,27363871763.3145,26585972170.4362,28913065741.1201,30402672353.3041,29339902064.9835,26991348465.3961,29871272000.4316,32542102434.8123
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Peru,PER,21632982368.3292,42623857417.118,150069634765.062,154551313294.828,148583459791.119,150000818331.438,163239956680.285,171257085724.681,178166523373.313,161626753655.588,168018787504.667,188336073166.769
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Philippines,PHL,39144362157.9153,69262324269.5269,235150233791.731,243446240782.075,255528449017.338,267046249787.848,274297886933.401,293378318650.001,322840413972.206,326771628024.008,357988182646.346,367689690682.012
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Poland,POL,..,141061992717.567,410117118494.808,423806416674.371,367063801565.194,360889219544.569,404753660257.541,450442310443.325,451821455314.993,453077191010.515,510471398053.643,515469845643.644
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Portugal,PRT,62133986781.0435,97573073981.1594,190814239535.042,194344760294.795,166305302133.602,171375111090.359,180990793102.076,196871777367.745,194522148803.612,190158957801.747,208874461544.768,206377207129.118
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Puerto Rico,PRI,24258300000,43362000000,73067000000,72932000000,70740800000,69583100000,71511300000,73209700000,77140000000,73182600000,80117600000,90210000000
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Qatar,QAT,..,6197252747.25275,57868760549.4505,64441198104.3956,68767740989.011,68660097335.1648,69440779615.3846,72042611126.3736,73958204352.1676,69219448682.0797,69242767526.6854,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Romania,ROU,30291435258.2797,31916758491.6431,143545992237.386,150675225988.49,133947466089.706,143262610295.174,165075749693.09,194743442834.37,200347151023.201,200516604847.245,228652194291.437,237245927513.744
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Russian Federation,RUS,359983364388.721,159146818343.406,1646931665492.11,1478336384670.17,960507992930.566,915631129832.906,1119066940114.52,1128248062279.39,1180107559754.96,1067052185189.89,1222509751637.04,1477942413861.54
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Rwanda,RWA,2392200773.21131,2160580380.28168,7138122811.01289,7657259072.28337,8073944362.60977,8043374734.82947,8214988093.32622,8884184795.64363,9401878261.4599,9299956695.74832,9892992705.81054,12103394685.961
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Samoa,WSM,..,..,..,711602866.968744,695548781.495551,676732850.956692,720535537.401117,711546042.265767,737314460.843003,754379141.622668,826450986.635786,872829036.241579
