year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1940,Total dairy products,5881196,Total domestic disappearance,516.75,10,Kilolitres,,,,
1940,Fluid products,1878290,Total domestic disappearance,165.04,3,Kilolitres,,,,
1940,Butter,3615550,Total domestic disappearance,317.68,5,Kilolitres,,,,
1940,Cheese,203250,Total domestic disappearance,17.86,3,Kilolitres,,,,
1940,Concentrated whole milk products,114614,Total domestic disappearance,10.07,8,Kilolitres,,,,
1940,Ice cream,69492,Total domestic disappearance,6.11,0,Kilolitres,,,,
1941,Total dairy products,5948703,Total domestic disappearance,521.13,2,Kilolitres,,,,
1941,Fluid products,1864995,Total domestic disappearance,163.38,13,Kilolitres,,,,
1941,Butter,3612907,Total domestic disappearance,316.5,7,Kilolitres,,,,
1941,Cheese,251761,Total domestic disappearance,22.06,12,Kilolitres,,,,
1941,Concentrated whole milk products,129832,Total domestic disappearance,11.37,13,Kilolitres,,,,
1941,Ice cream,89209,Total domestic disappearance,7.82,2,Kilolitres,,,,
1942,Total dairy products,6279264,Total domestic disappearance,548.12,12,Kilolitres,,,,
1942,Fluid products,1994456,Total domestic disappearance,174.1,8,Kilolitres,,,,
1942,Butter,3789293,Total domestic disappearance,330.77,6,Kilolitres,,,,
1942,Cheese,222660,Total domestic disappearance,19.44,8,Kilolitres,,,,
1942,Concentrated whole milk products,177005,Total domestic disappearance,15.45,6,Kilolitres,,,,
1942,Ice cream,95851,Total domestic disappearance,8.37,12,Kilolitres,,,,
1943,Total dairy products,5992402,Total domestic disappearance,521.39,8,Kilolitres,,,,
1943,Fluid products,2153328,Total domestic disappearance,187.36,3,Kilolitres,,,,
1943,Butter,3250980,Total domestic disappearance,282.86,1,Kilolitres,,,,
1943,Cheese,268751,Total domestic disappearance,23.38,7,Kilolitres,,,,
1943,Concentrated whole milk products,210795,Total domestic disappearance,18.34,6,Kilolitres,,,,
1943,Ice cream,108547,Total domestic disappearance,9.44,4,Kilolitres,,,,
1944,Total dairy products,6257364,Total domestic disappearance,541.86,2,Kilolitres,,,,
1944,Fluid products,2243451,Total domestic disappearance,194.27,11,Kilolitres,,,,
1944,Butter,3449712,Total domestic disappearance,298.73,12,Kilolitres,,,,
1944,Cheese,267118,Total domestic disappearance,23.13,13,Kilolitres,,,,
1944,Concentrated whole milk products,185865,Total domestic disappearance,16.1,12,Kilolitres,,,,
1944,Ice cream,111217,Total domestic disappearance,9.63,5,Kilolitres,,,,
1945,Total dairy products,6230910,Total domestic disappearance,534.84,14,Kilolitres,,,,
1945,Fluid products,2281156,Total domestic disappearance,195.81,1,Kilolitres,,,,
1945,Butter,3354639,Total domestic disappearance,287.95,2,Kilolitres,,,,
1945,Cheese,298938,Total domestic disappearance,25.66,7,Kilolitres,,,,
1945,Concentrated whole milk products,193237,Total domestic disappearance,16.58,6,Kilolitres,,,,
1945,Ice cream,102939,Total domestic disappearance,8.84,10,Kilolitres,,,,
1946,Total dairy products,5954592,Total domestic disappearance,486.01,4,Kilolitres,,,,
1946,Fluid products,2390047,Total domestic disappearance,195.08,14,Kilolitres,,,,
1946,Butter,3017267,Total domestic disappearance,246.27,0,Kilolitres,,,,
1946,Cheese,255366,Total domestic disappearance,20.84,7,Kilolitres,,,,
1946,Concentrated whole milk products,192264,Total domestic disappearance,15.69,13,Kilolitres,,,,
1946,Ice cream,99646,Total domestic disappearance,8.13,3,Kilolitres,,,,
1947,Total dairy products,6406667,Total domestic disappearance,510.46,14,Kilolitres,,,,
1947,Fluid products,2338217,Total domestic disappearance,186.3,12,Kilolitres,,,,
1947,Butter,3370896,Total domestic disappearance,268.58,14,Kilolitres,,,,
1947,Cheese,320647,Total domestic disappearance,25.55,2,Kilolitres,,,,
1947,Concentrated whole milk products,229342,Total domestic disappearance,18.28,14,Kilolitres,,,,
1947,Ice cream,147565,Total domestic disappearance,11.76,11,Kilolitres,,,,
1948,Total dairy products,6393657,Total domestic disappearance,498.61,9,Kilolitres,,,,
1948,Fluid products,2226928,Total domestic disappearance,173.67,3,Kilolitres,,,,
1948,Butter,3514160,Total domestic disappearance,274.05,12,Kilolitres,,,,
1948,Cheese,252444,Total domestic disappearance,19.69,1,Kilolitres,,,,
1948,Concentrated whole milk products,241449,Total domestic disappearance,18.83,2,Kilolitres,,,,
1948,Ice cream,158676,Total domestic disappearance,12.37,12,Kilolitres,,,,
1949,Total dairy products,6016327,Total domestic disappearance,453.65,3,Kilolitres,,,,
1949,Fluid products,2264566,Total domestic disappearance,172.84,1,Kilolitres,,,,
1949,Butter,3022304,Total domestic disappearance,226.2,3,Kilolitres,,,,
1949,Cheese,302839,Total domestic disappearance,22.67,4,Kilolitres,,,,
1949,Concentrated whole milk products,235706,Total domestic disappearance,17.65,12,Kilolitres,,,,
1949,Ice cream,190912,Total domestic disappearance,14.29,1,Kilolitres,,,,
1950,Total dairy products,6232492,Total domestic disappearance,458.93,2,Kilolitres,,,,
1950,Fluid products,2299944,Total domestic disappearance,172.14,6,Kilolitres,,,,
1950,Butter,3138009,Total domestic disappearance,228.85,4,Kilolitres,,,,
1950,Cheese,334550,Total domestic disappearance,24.4,10,Kilolitres,,,,
1950,Concentrated whole milk products,272693,Total domestic disappearance,19.89,11,Kilolitres,,,,
1950,Ice cream,187296,Total domestic disappearance,13.66,11,Kilolitres,,,,
1951,Total dairy products,6187427,Total domestic disappearance,446.04,11,Kilolitres,,,,
