"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1926","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","4876610","","","","0"
"1926","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","516.00","","","","2"
"1926","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1736134","","","","0"
"1926","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","183.70","","","","2"
"1926","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2844612","","","","0"
"1926","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","300.99","","","","2"
"1926","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","201269","","","","0"
"1926","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","21.30","","","","2"
"1926","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","46855","","","","0"
"1926","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.96","","","","2"
"1926","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","47739","","","","0"
"1926","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.05","","","","2"
"1927","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","4830193","","","","0"
"1927","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","501.21","","","","2"
"1927","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1667334","","","","0"
"1927","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","173.01","","","","2"
"1927","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2890442","","","","0"
"1927","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","299.93","","","","2"
"1927","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","164456","","","","0"
"1927","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.07","","","","2"
"1927","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","56291","","","","0"
"1927","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","5.84","","","","2"
"1927","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","51670","","","","0"
"1927","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.36","","","","2"
"1928","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","4929763","","","","0"
"1928","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","501.25","","","","2"
"1928","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1640961","","","","0"
"1928","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","166.85","","","","2"
"1928","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2990663","","","","0"
"1928","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","304.08","","","","2"
"1928","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","182583","","","","0"
"1928","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.56","","","","2"
"1928","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","56557","","","","0"
"1928","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","5.76","","","","2"
"1928","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","58999","","","","0"
"1928","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","6.00","","","","2"
"1929","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5036178","","","","0"
"1929","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","502.16","","","","2"
"1929","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1610197","","","","0"
"1929","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","160.56","","","","2"
"1929","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3120181","","","","0"
"1929","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","311.12","","","","2"
"1929","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","177705","","","","0"
"1929","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.72","","","","2"
"1929","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","60292","","","","0"
"1929","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","6.01","","","","2"
"1929","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","67802","","","","0"
"1929","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","6.76","","","","2"
"1930","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5283535","","","","0"
"1930","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","517.60","","","","2"
"1930","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1748387","","","","0"
"1930","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","171.28","","","","2"
"1930","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3219917","","","","0"
"1930","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","315.43","","","","2"
"1930","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","185001","","","","0"
"1930","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.12","","","","2"
"1930","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","63045","","","","0"
